Percent
3.0
10.6
30.0
40.0
99.0
16.0
33.0
80.0
7.0
10.0
25.0
82.0
15.0
18.0
7.0
39.0
47.0
57.0
61.0
60.0
17.0
21.5
25.8
34.0
53.0
1.8
49.0
66.0
40.0
10.0
16.0
34.0
676.0
4.5
2.1
23.0
75.0
80.0
52.9
11.0
21.0
68.0
4.0
14.6
30.0
25.0
93.0
0.8
74.0
85.0
400.0
53.0
90.0
12.0
27.24
1041.0
55.0
51.0
70.0
14.0
5.5
12.0
12.5
16.0
477.0
3.0
4.0
68.0
56.0
80.0
687.0
30.0
60.0
62.0
4.7
16.0
20.0
54.4
30.0
95.0
15.0
63.5
5.0
14.0
60.0
70.0
400.0
7.0
8.0
31.0
99.88
38.0
55.3
89.9
95.0
6.0
30.0
90.0
30.0
54.0
72.2
5.9
40.0
41.0
1.0
64.0
45.3
75.0
88.0
11.7
37.0
67.0
98.0
5.0
49.0
75.0
0.0
24.0
44.0
7.7
10.8
30.0
21.0
39.0
69.0
1.4
37.0
32.0
80.0
90.0
97.0
0.5
11.0
83.0
2.8
25.0
43.0
51.0
57.0
10.0
41.0
90.0
90.0
8.0
10.0
33.0
16.0
57.9
70.0
40.0
60.0
94.6
6.0
3.0
8.0
45.0
50.0
91.0
61.0
13.0
28.5
40.0
41.0
42.0
25.0
30.0
27.7
47.0
1.0
25.0
91.4
98.4
53.7
48.0
48.0
70.0
2.7
71.0
18.0
20.0
6.0
22.0
58.0
7.8
42.0
70.0
3.0
22.0
29.0
30.2
56.0
69.0
3.0
33.0
0.5
89.0
96.4
1.0
27.7
58.0
73.0
23.0
50.0
53.0
94.0
49.0
64.1
30.0
26.0
174.0
30.0
59.0
60.0
80.0
80.0
9.5
56.0
17.0
15.0
97.0
13.0
92.0
4.0
12.0
30.0
40.0
10.0
58.0
84.0
73.0
1.1
46.0
52.9
40.0
50.6
58.6
60.0
63.0
65.0
18.0
2.5
5.8
7.0
42.0
65.0
20.0
50.0
61.0
1.0
93.0
54.0
60.0
62.0
31.0
83.0
14.6
4.0
3.6
60.0
83.0
97.6
81.0
10.7
70.0
53.7
0.2
2.36
73.0
34.0
3.0
15.0
25.0
99.7
35.0
81.0
42.0
70.0
77.0
79.0
54.0
61.0
30.0
52.0
18.0
83.0
172.0
1.7
4.6
68.0
44.0
57.5
54.0
32.0
52.0
9.0
18.9
15.6
71.0
66.0
7.0
15.0
39.0
67.0
5.7
10.3
19.0
42.0
69.0
11.8
14.0
63.9
98.0
60.0
79.0
18.0
49.0
70.0
78.0
85.0
98.0
8.5
57.0
60.0
6.9
13.8
24.8
70.0
40.0
80.0
4.0
11.0
92.1
10.0
12.0
25.0
32.1
4.0
35.0
18.0
1.7
2.5
27.0
40.0
46.0
21.0
75.0
10.0
40.0
45.0
6.0
8.0
50.0
0.7
28.0
50.0
11.5
15.0
20.0
66.0
7.0
24.6
11.3
4.8
8.0
14.0
43.4
54.0
0.0
28.0
38.0
79.0
12.0
15.0
67.0
70.0
1.8
59.5
93.7
41.0
45.0
0.3
23.0
77.0
12.5
17.0
86.0
5.3
67.0
59.0
33.0
50.0
64.0
71.0
2.8
26.0
57.0
1.0
6.1
30.0
32.0
15.0
34.0
340.0
44.0
164.0
11.0
15.0
63.0
76.0
13.0
15.0
38.0
90.0
18.0
34.0
2.45
20.0
41.0
71.0
56.0
5.0
6.0
43.0
2.6
38.0
49.0
56.0
17.6
40.0
9.0
51.0
63.0
65.0
20.0
18.0
45.0
27.0
29.0
52.0
53.0
70.0
2.0
25.0
35.0
42.0
74.0
90.0
51.0
4.4
9.8
66.0
9.6
60.0
65.0
71.0
56.0
94.0
8.0
30.0
80.0
95.0
15.0
26.0
31.0
47.0
86.0
56.1
5.9
10.0
98.7
4.4
0.0
20.0
29.0
53.0
76.5
90.0
15.0
44.2
41.0
73.0
92.0
14.0
64.0
150.0
57.3
80.0
11.3
16.6
44.0
17.4
30.0
51.0
75.0
80.0
57.0
63.0
43.0
45.0
49.0
57.0
41.0
20.0
26.0
12.0
54.0
40.0
99.2
4.8
20.0
12.9
20.3
88.0
0.86
45.3
8.0
22.0
45.0
75.0
9.0
29.0
32.0
43.0
21.0
29.0
75.0
53.8
54.0
56.0
72.0
97.0
8.01
17.0
42.0
88.7
10.0
45.0
63.0
12.0
13.0
16.0
32.0
40.0
47.0
20.0
33.0
15.0
18.0
32.0
63.0
90.0
92.0
56.0
6.5
31.0
41.0
50.0
59.0
35.0
70.0
46.0
78.0
85.0
19.0
29.0
31.0
10.0
70.0
53.0
25.0
77.0
92.0
7.0
24.8
26.0
38.0
385.0
4.0
38.0
42.0
60.0
82.0
18.0
38.0
53.0
62.0
31.2
46.0
60.0
13.0
31.0
25.0
28.0
93.0
2.4
60.0
9.0
3173.0
45.0
153.0
39.1
75.0
19.0
20.0
12.0
41.0
3.6
13.0
26.0
42.1
32.0
55.5
60.0
91.0
40.0
